Symbol,ECFC-L1-rep1,ECFC-L1-rep2,ECFC-L1-rep3,ECFC-B1-rep1,ECFC-B1-rep2,ECFC-B1-rep3,ECFC-B2-rep1,ECFC-B2-rep2,ECFC-B2-rep3,ECFC-L2-rep1,ECFC-L2-rep2,ECFC-L2-rep3
ADAM10,12.347819839672086,12.344248999610727,11.814824821031602,12.046184038850694,11.938994240024721,11.91073028891919,12.048730985878313,11.98493201937819,12.327306424615141,12.610727594151214,12.496758601600352,12.497632835872276
ADAM17,10.362011659005043,10.283129472543097,10.00136243574637,10.465337544064944,10.4059307118059,10.437248312076393,10.062831270134913,10.407345122258189,10.726692320327238,10.423309846798809,10.597574107085709,10.803113062715873
APH1B,9.514372657569155,9.348941481242479,9.389284882257902,9.245827220938622,9.613086182661899,9.658835234850434,9.25859594990745,9.315808177819472,9.22975733753388,9.264492771890987,9.481478804196854,9.384066928088345
CCNC,9.835438944485938,9.76480015429177,10.242557868313593,10.100443944584557,10.104103541208026,10.276906048608218,10.213713749204057,10.259271481821614,10.130430613332118,9.6882358524095,9.863395536971806,9.987937284830826
CDK8,8.392230559250391,8.351152181894333,8.741869430179543,8.425554070978487,8.452259304426317,8.38898720761409,8.378705716582697,8.619139759918154,8.6335898780345,8.770929245531406,8.904555230851944,8.851331651726833
CREBBP,10.744954705205396,10.626343998939024,10.300248441565024,10.796861760385923,10.291198395488776,10.531647046229251,10.519845632570753,10.164110789624235,10.781135610910146,10.578067072887798,10.641517409399963,10.710821372644363
CUL1,10.506358954673082,10.507410481585556,10.481501878402675,10.383002656741441,10.418257252818899,10.430911368976364,10.434301466165476,10.43042946212269,10.541554069268583,10.493137995836,10.604991570909158,10.456728987795398
DAB2,13.912582740439413,13.770275382789883,13.801202610012469,13.227004020254073,13.65580782255386,12.927200815326659,13.400351621864111,13.485694140433932,13.502628741572275,14.06471878213171,13.994751149831286,14.119950020406554
DLL1,4.479368575767209,4.692148645599303,4.488593924090898,3.6092365329124614,2.8777599009563364,4.889857163786741,3.053938342042556,4.866101572031092,4.785676678624156,4.078067334031179,4.457197831556511,3.9255306876338603
DLL4,7.53646605822358,7.409279387489285,8.371260862906487,7.918133944792577,7.230999106774114,8.001276386901681,5.381904354645558,6.991125816730854,7.128402047926384,7.400676899711466,7.886412887112137,7.614308797610782
