Symbol,BLM1,BLM2,BLM3,LYM1,LYM2,LYM3
ADAM10,13.60016411805746,13.549421424039336,13.615920222523721,13.50487607751633,13.68866914891591,13.537150793382134
ADAM17,12.142077786915843,12.250736393753222,12.28523191222574,11.575023547894599,12.174392665546327,11.884971973938404
APH1B,10.280954868459865,10.485722940268614,10.1610139439041,10.311767975023514,10.710498595631812,10.50640662649299
CCNC,11.442099090134256,11.323837100807108,11.549793066151075,11.638941315706468,11.14629808961318,11.293712001443524
CDK8,10.290049782625905,10.094389032261974,10.151159841219043,9.880053281983166,9.743742553300255,10.016708413853172
CREBBP,12.181303365728104,12.281602764145132,12.377572184858979,12.479630925358764,12.26260928082901,12.375356514938721
CUL1,11.89624909917237,11.864192142732582,11.88943402339899,11.99468247587377,11.8497265125075,11.932329645602154
DAB2,14.601172110522445,14.678906289624043,14.520586183717553,14.797908391746224,15.036432302669844,14.74276150660206
DLL1,5.809328354282432,6.317905460703149,6.27057935025662,6.86784331131095,7.494118675730325,7.444711756202846
DLL3,5.775190292276442,5.703177013306486,5.924808758437463,5.76098380544526,5.2876220740029565,4.975660801921109
DLL4,11.2457349964527,10.04290671830541,10.910731245437924,10.564862643073344,9.461706611351136,11.244356431120965
EP300,12.4129901861893,12.617227138789247,12.657908441537728,12.72720813603543,12.546759367535296,12.623576986168523
FBXW7,10.032674504493638,9.892672147204356,10.003198356255586,10.450131663621102,9.927088387879884,10.064399287187577
FLT4,12.17599822748865,12.205927995526375,11.623707078524188,13.81964553890708,13.210512344084755,13.885349883009717
FYN,12.889592315893893,12.601744369209047,12.565715736947634,12.020205574038059,12.633227494225071,12.416594830572386
HDAC3,11.13484469756888,10.963651233025033,11.078408094042638,11.252772048509696,11.014901663292122,11.134138547525353
HES1,10.199633836796945,9.382435847763807,10.924295032833706,11.14802418357606,9.674700778508644,10.72247713339031
HEY1,6.535966191805848,6.464238723324333,6.96381375670693,10.273095308323615,9.20194669963483,10.093424857825044
HEY2,4.1737299486942785,3.403406354570626,3.974618848403782,8.608845171043045,4.809551845032931,6.371896728641033
JAG1,13.761842848823639,13.396164354020106,13.525899944528005,14.151989293580828,14.18257579840327,14.206594873835977
JAG2,13.193721933398788,12.759346835340025,12.789898201760007,12.673158216623072,12.908416925911474,13.005445359897946
KAT2B,9.522297832511088,9.701166671927389,9.733613344918355,9.749975321790833,10.140548006550363,10.204017716646652
KPNA3,12.402894704504037,12.466634053468958,12.540354151743623,12.371664209808445,12.44703390764754,12.408764277241671
KPNA4,12.663903691030022,12.764874037136265,12.886936656145522,12.58403224634023,12.649061563147379,12.40019422062432
KPNA6,12.58111159793345,12.659145512369628,12.691913518584318,12.600178556592025,12.512794776741789,12.438704138786102
LRP8,9.621702706680079,10.061710168247943,10.220860790039007,10.365859610065748,9.64613157051695,9.89537541415692
LYVE1,10.168738525583048,10.467398504960078,9.335669729988378,10.20738394844372,10.379487045067767,11.493333886393245
MAML1,11.371735687650967,11.422815890912187,11.438516871317471,11.473027744015607,11.399952015481926,11.50375003582679
MAML2,11.034693668756587,11.009071803152292,10.967984653876103,11.250008868416224,11.253167827892614,11.153562358842025
MAML3,10.316995491408656,10.412113499772373,10.433626990274062,10.463551547600618,10.189628347139742,10.261413845468025
MIB1,12.005192040907959,12.295111992674773,12.433973711893053,12.473484818143852,12.312038322629467,12.32141904822224
MIB2,11.363860939685509,10.91595938596979,10.901617352487584,10.846005441690883,10.770461245765354,11.285686276346516
MYC,12.643646817942962,12.665305883799691,12.684910732466307,12.323062010340783,12.385442060777729,12.546117708107426
NCOR1,12.739714061467431,12.948417284536346,13.136100945937754,13.051634732333316,12.945525333148487,12.996253406318596
NCOR2,13.90647578226992,13.510995537092096,13.849243336772837,13.671912727682534,13.193337197395959,13.299148262277658
NCSTN,13.96951420836717,13.830449752244272,13.623166143442731,13.175338745330167,14.004214000648322,13.474652812910648
NEURL2,6.708691632937435,6.548690844054929,6.062022827683399,6.574668644137223,6.541412559456168,6.845802381185123
NEURL3,6.926522519488394,6.59708666330207,6.318326181784962,5.4883319758185385,7.763818968233411,7.252219967950604
NEURL4,10.210851582000926,10.118075949764446,10.263154808752017,9.852629481951253,10.100308232206352,10.103732738770482
NOTCH1,13.75775116308791,13.498310028249193,13.759308489797546,13.957969897146759,13.522159954973384,13.970344764905079
NOTCH2,10.429644928518462,9.680727328225796,10.910082159014049,10.75772218190529,9.422235080871454,9.712894198763449
NOTCH3,4.9616707665714195,3.079276019476699,3.974618848403782,7.111385377881521,6.024611016908495,7.104921536809239
NOTCH4,7.538384468338767,6.90965827600955,7.663657436610474,7.440949782118474,7.046655099866205,7.34009514510186
PDPN,3.9471834190441735,4.25531007360201,4.195252691415328,14.001499018504202,13.11520611117339,13.492631716574037
PROX1,4.541820297811012,5.9714131858036605,5.440654841610643,13.227821400635104,12.51945509063355,12.944941879051377
PSEN1,12.088784822100017,11.978593419994823,11.894693155781024,11.445757263602333,11.988119602034159,11.675972417883465
PSEN2,9.48845846415603,9.629294971073145,9.10783869172396,9.537994549369134,10.100308232206352,9.855266361508164
PSENEN,10.462195565915641,10.418860651126089,10.091723813146581,9.919540266535664,10.366411154103634,10.103732738770482
RBPJ,11.581964278427348,11.66055508804457,11.78214273552101,12.013378268421297,11.812849227271986,11.930722239105656
RBX1,10.899601626126874,10.857560415966653,10.67891522181421,10.829812341277814,10.792625437640345,10.660208666071096
RELN,12.12946586347138,12.899205740019168,12.129446049249355,15.1527635361065,15.408981444973003,15.39116267899375
