Sample,Condition
CTRL1,Control
CTRL2,Control
CTRL3,Control
II41,II4
II42,II4
II43,II4
II44,II4
VEGFC1,VEGFC
VEGFC2,VEGFC
VEGFC3,VEGFC
VEGFC4,VEGFC
