Symbol,CTRL1,CTRL2,CTRL3,II41,II42,II43,II44,VEGFC1,VEGFC2,VEGFC3,VEGFC4
ADAM10,4908.095020206699,5058.635271582877,5111.5804105766465,4066.185394131197,4753.1916340764465,4553.678552618332,4520.15901866611,5764.679863976364,4072.3126881592552,4419.609432479128,4517.997819882978
ADAM17,1619.227732631873,1748.8551135585908,1834.062016983475,1208.5256898965786,1256.1364658674618,1250.6063876334676,1242.3828881713869,1454.3811693491584,1023.4648290347335,1162.527651173648,1182.8729924342406
APH1A,6061.5175146841975,5920.902647420868,6029.602803942429,5278.9073537843615,5615.774614929639,5526.576757115544,5346.652032215586,4507.892344807344,6205.428858147437,6263.618810202845,6441.368539288247
APH1B,556.5465183143175,504.0947735668252,525.4339832439144,606.360979826582,632.5608526256746,684.1552591171322,690.8001307279201,556.0193412045755,372.7566640484398,503.0938628354926,434.68178258559084
CCNC,610.9912864102834,594.7433951292805,602.7620034194339,522.4355846948752,571.46122481524,617.946685654184,556.8694931378132,1052.3010672384116,631.316199804583,693.5078746656591,769.3482877621077
CDK8,250.04263866295423,258.68021275139716,255.77729750364136,199.32281343780377,199.47231432230078,213.33873671394448,207.94493731095554,457.22251611450633,260.7141985541111,306.66677694753133,334.66650517651686
CREBBP,2048.73645872227,1885.933516896938,2000.6146758230554,1989.0318646214523,2054.0257231566648,2067.1787936764963,1802.7768717720976,1796.7236562891658,1693.564959202738,1793.900427242095,1648.3287065303157
CUL1,1484.12404883818,1408.3700472020512,1524.749936281397,1317.6287035677976,1353.1770512134458,1452.9103621035874,1452.0900707137912,1764.557248120306,1422.0774466587877,1391.024465369848,1527.1563512077837
DAB1,0.0,0.0,1.982769748090243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAB2,8549.845063959081,8043.406957175921,8474.3579033377,13077.67469639822,12430.18016366986,12960.328255372127,12221.17068009726,14596.656506911853,12260.031320437123,11336.648956962335,13205.863359436578
DLL1,1296.5920698409643,1492.385842796522,1318.5418824800117,992.4177974324335,943.4501353081794,800.0202626772917,874.0736347985928,595.0785511239053,892.030398358694,909.9785407462695,907.8309795592871
DLL3,0.0,13.265651935969084,9.913848740451217,6.294404634878014,3.594095753554969,5.517381121912357,3.5244904628975515,11.488002917449908,10.7733139898393,12.026148115589464,3.8467414388105383
DLL4,1812.8091303064182,2102.6058318511,2038.28730103677,4248.72312854266,4244.627084948418,3970.6752807362595,3797.638473772112,778.8865978031038,1049.3207826103478,1300.828354502927,1032.8500763206296
EP300,2879.5232904088602,2703.982052948365,2990.016780120087,2849.2671647214474,2603.922373450575,2650.182065558569,2527.0596618975446,2681.2998809328087,2400.294356936196,2531.5041783315824,2502.3053059462554
FBXW7,528.315897820113,475.3525277055588,517.5029042515534,373.4680083360955,363.0036711090519,378.8601703713152,384.16946045583313,491.6865248668561,368.4473384525041,344.74957931356465,342.35998805413794
FLT4,7727.1241238422635,7851.05500410437,7738.750326796219,10431.926614871161,9526.150794797446,9903.699113832681,10388.435639390533,7317.857858415592,11146.07065388774,13421.181296997842,9791.880332492226
FYN,2704.0901487663036,2712.8258209056776,2758.0327195935283,3478.707628209249,3606.6750886924115,3759.1756710629525,3475.147596416986,2966.2023532855665,3111.33308026559,2904.3147699148553,3135.094272630589
HDAC3,865.0668708581239,835.7360719660522,810.9528269689094,767.9173654551176,885.9446032512999,816.5724060430289,789.4858636890516,838.6242129738433,864.0197819851119,757.6473312821362,919.3712038757187
HES1,560.5794640992038,506.30571555615336,513.537364755373,574.888956652192,596.6198950901248,674.959623913945,567.4429645265058,597.3761517073953,788.6065840562368,741.612467128017,659.7161567560073
HES5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEY1,356.91570196244277,380.2820221644471,343.0191664196121,895.9035930309707,837.4243105783078,871.7462172621524,1002.7175366943534,581.2929476229654,633.4708626025508,669.4555784344801,575.0878451021755
HEY2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEYL,0.0,0.0,0.0,2.0981348782926714,1.7970478767774845,0.0,0.0,2.2976005834899818,8.61865119187144,2.004358019264911,1.9233707194052692
JAG1,1496.222886192839,1589.6672903269618,1596.1296472126458,1519.049651883894,1477.1733547110923,1520.9580626071731,1718.1891006625565,3253.402426221814,3141.4983594371397,3078.693917590903,2727.339680116672
JAG2,4789.123119552551,4819.853536735433,4843.906494584464,1565.2086192063327,1516.7084080001969,1443.7147269004001,1756.9584957544296,1840.3780673754754,3270.7781273152113,3104.7505718413468,2917.7533813377936
KAT2B,925.5610576314193,826.8923040087395,921.987932861963,572.7908217738993,517.5497885119155,571.9685096382477,553.3450026749156,1580.7492014411073,1001.918201055055,1210.632243636006,1125.1718708520825
KPNA3,1232.0649372827827,1036.9317929949168,1181.730769861785,1061.6562484160918,972.2029013366191,1063.0154294884474,912.8430298904659,2495.19423367012,1654.7810288393166,1705.708674394439,1492.535678258489
KPNA4,1349.0203650444869,1209.3852681625149,1403.800981647892,1290.352950149993,1259.7305616210167,1362.7931371123523,1267.05432141167,2083.9237292254134,1409.1494698709805,1463.1813540633848,1656.0221894079368
KPNA6,2153.5930491293157,2221.9966992748214,2339.668302746487,1934.480357785843,2025.272957128225,2087.409191123508,1938.4697545936533,1697.9268311990966,1801.298099101131,1715.7304644907636,1884.9033050171638
LRP8,604.9418677329538,621.2746990012188,592.8481546789827,159.45825075024302,188.69002706163587,161.8431795760958,163.88880652473614,668.6017697955847,514.9644087143186,448.97619631533996,596.2449230156335
LYVE1,617.0407050876129,871.1111437953032,866.4703799154363,5889.464603367528,5270.741422588362,5153.233967866141,5690.289852348097,985.6706503172021,1034.2381430245728,2301.0030061161174,1067.4707492699245
MAML1,1165.5213318321576,1143.0570084826693,1316.5591127319215,1177.0536667221886,1096.1992048342656,1193.5934493737066,1201.8512478480652,1077.5746736568015,1204.4565040640337,1190.5886634433568,1123.2485001326772
MAML2,719.8808226022151,614.6418730332342,670.1761748545022,694.4826447148743,706.2398155735514,739.3290703362559,600.9256239240326,935.1234374804226,736.8946769050082,767.6691213784608,644.3291910007651
MAML3,1197.7848981112486,946.2831714324614,1203.5412370907777,675.5994308102402,664.9077144076692,638.177083101196,606.2123596183789,820.2434083059235,827.3905144196583,996.1659355746606,898.2141259622607
MIB1,1586.964166352782,1280.1354118210165,1524.749936281397,835.0576815604832,767.3394433839859,816.5724060430289,831.7797492438222,2313.6837875744113,1361.7468883156876,1322.876292714841,1511.7693854525417
MIB2,772.3091178057377,835.7360719660522,725.693727801029,707.0714539846302,632.5608526256746,503.92080913466197,692.5623759593689,307.87847818765755,601.1509206330329,525.1418010474066,430.8350411467803
MYC,1169.5542776170441,1293.4010637569856,1231.300013564041,1355.3951313770656,1284.8892318959015,1291.0671825274915,1422.131901779162,1373.965148927009,1551.3572145368591,1415.0767616010269,1367.5165814971465
NCOR1,2883.5562361937464,2854.3261082226813,3108.9829650055012,3243.71652184047,3326.335619915124,3553.193442511558,3145.6077381360647,3749.68415225565,3320.3353716684724,3227.016411016506,3338.9715688875476
NCOR2,1828.9409134459636,1934.574240662158,1820.1826287468432,2242.9061848948654,2337.959287687507,2098.443953367333,2204.5687845424186,1334.9059390076793,2156.817460765828,1980.3057230337317,1946.4511680381324
NCSTN,3359.4438388103367,3577.3041387329963,3592.7787835395206,3510.1796513836393,3685.7451952706206,3705.8409868844665,3552.686386600732,3579.6617090773916,4078.776676553159,4076.8642111848285,4094.8562616138183
NEURL1,2.016472892443179,2.2109419893281808,3.965539496180486,12.588809269756029,3.594095753554969,7.356508162549809,1.7622452314487758,2.2976005834899818,2.15466279796786,2.004358019264911,0.0
NEURL2,36.296512063977225,46.4297817758918,35.689855465624376,54.55150683560945,32.34686178199472,45.978176015936306,42.29388555477062,13.78560350093989,17.23730238374288,24.05229623117893,23.08044863286323
NEURL3,2.016472892443179,2.2109419893281808,1.982769748090243,12.588809269756029,7.188191507109938,5.517381121912357,14.097961851590206,6.892801750469945,0.0,0.0,0.0
NEURL4,939.6763678785215,941.861287453805,896.2119261367899,788.8987142380444,828.4390711944203,741.1681973768933,798.2970898462954,473.3057201989362,689.4920953497152,671.4599364537451,580.8579572603913
